Наименование исследование.,Наименование тест.,БМ,Единицы измерения,Референсные значения НИЖНИЙ предел,Референсные значения ВЕРХНИЙ предел,Референсные группы,Критическое значение ниже нормы,Критическое значение выше нормы,"Метод исследования 
(указывается при необходимости)
",Раздел,Подраздел,Синонимы русский,Синонимы английский
АЛТ (аланинаминотрансфераза),АЛТ (аланинаминотрансфераза),Сыв-ка крови,ед/л,,<28,недоношенные,–,>300,"НОКХ, оптимизированный, рекоменд., 1972 и МФКХ без пиридоксальфосфата",Биохимия крови,Ферменты,"АЛТ, АлАТ","ALT, Alanine aminotransferase, SGPT"
,,,,,<31,1 день,,,,,,,
,,,,,<49,2-5 дней,,,,,,,
,,,,,<56,6 дней - 6 месяцев,,,,,,,
,,,,,<54,7-12 месяцев,,,,,,,
,,,,,<33,1-3 года,,,,,,,
,,,,,<29,4-6 лет,,,,,,,
,,,,,<39,7-12 лет,,,,,,,
,,,,,<24,13-17 лет жен.,,,,,,,
,,,,,<27,13-17 лет муж.,,,,,,,
,,,,,<31,>18 лет жен.,,,,,,,
,,,,,<41,>18 лет муж.,,,,,,,
,,,,,<35,>18 лет жен.,,,"МФКХ с пиридоксальфосфатом иНОКХ, стандартный метод, 1994",,,,
,,,,,<50,>18 лет муж.,,,,,,,
АСТ (аспартатаминотрансфераза),АСТ (аспартатаминотрансфераза),Сыв-ка крови,ед/л,,<64,недоношенные,–,>300,"НОКХ, оптимизированный, рекоменд., 1972 и МФКХ без пиридоксальфосфата",Биохимия крови,Ферменты,"АСТ, АсАТ, ","AST, Aspartate aminotransferase, SGOT"
,,,,,<109,1 день,,,,,,,
,,,,,<97,2-5 дней,,,,,,,
,,,,,<77,6 дней - 6 месяцев,,,,,,,
,,,,,<82,7-12 месяцев,,,,,,,
,,,,,<48,1-3 года,,,,,,,
,,,,,<36,4-6 лет,,,,,,,
,,,,,<47,7-12 лет,,,,,,,
,,,,,<25,13-17 лет жен.,,,,,,,
,,,,,<29,13-17 лет муж.,,,,,,,
,,,,,<32,>18 лет жен.,,,,,,,
,,,,,<38,>18 лет муж.,,,,,,,
,,,,,<35,>18 лет жен.,,,"МФКХ с пиридоксальфосфатом иНОКХ, стандартный метод, 1994",,,,
ГГТ (гамма-глутамилтранспептидаза),ГГТ (гамма-глутамилтранспептидаза),Сыв-ка крови,ед/л,,<257,недоношенные,,,Метод по Шашу,Биохимия крови,Ферменты,"ГГТ, γ-ГТ, гамма-ГТ","GGT, Gamma-glutamyl transferase"
,,,,,<151,1 день,,,,,,,
,,,,,<185,2-5 дней,,,,,,,
,,,,,<204,6 дней - 6 месяцев,,,,,,,
,,,,,<34,7-12 месяцев,,,,,,,
,,,,,<18,1-3 года,,,,,,,
,,,,,<23,4-6 лет,,,,,,,
,,,,,<17,7-12 лет,,,,,,,
,,,,,<33,13-17 лет жен.,,,,,,,
,,,,,<45,13-17 лет муж.,,,,,,,
,,,,,<32,>18 лет жен.,,,,,,,
,,,,,<49,>18 лет муж.,,,,,,,
,,,,,<45,>18 лет жен.,,,МФКХ,,,,
,,,,,<64,>18 лет муж.,,,,,,,
,,,,,<185,недоношенные,,,"НОКХ, стандартный метод, 1994",,,,
,,,,,<32,дети,,,,,,,
,,,,,<35,>18 лет жен.,,,,,,,
,,,,,<40,>18 лет муж.,,,,,,,
Щелочная фосфатаза (общая),Щелочная фосфатаза (общая),Сыв-ка крови,ед/л,90,273,<15 дней,,,"Колориметрический метод с р-нитрофенолом. Оптимизирвоанный метод, рекомендвоанный DGKC",Биохимия крови,Ферменты,ЩФ,"ALP, Alkaline phosphatase"
,,,,134,518,1 дней - 1 год,,,,,,,
,,,,156,369,1-10 лет,,,,,,,
,,,,141,460,10-13 лет,,,,,,,
,,,,127,517,13-15 лет муж.,,,,,,,
,,,,89,365,15-17 лет муж.,,,,,,,
,,,,59,164,17-19 лет муж.,,,,,,,
,,,,40,150,>19 лет муж.,,,,,,,
,,,,62,280,13-15 лет жен.,,,,,,,
,,,,40,150,>15 лет жен.,,,,,,,
,,,,,<250,1 день,,,"Расчет производился на основе опубликованных референсных диапазонов по 
определению щелочной фосфатазы с помощью оптического метода (DGKC)
13 с 
использованием коэффициента 0.417, полученного при сравнении методов. Согласованные значения
",,,,
,,,,,<231,2-5 дней,,,,,,,
,,,,,<449,6 дней - 6 месяцев,,,,,,,
,,,,,<462,7-12 месяцев,,,,,,,
,,,,,<281,1-3 года,,,,,,,
,,,,,<269,4-6 лет,,,,,,,
,,,,,<300,7-12 лет,,,,,,,
,,,,,<187,13-17 лет жен.,,,,,,,
,,,,,<390,13-17 лет муж.,,,,,,,
,,,,40,130,>18 лет жен.,,,,,,,
,,,,35,105,>18 лет муж.,,,,,,,
,,,,,<420,новорожденные,,,"НОКХ, стандартный метод, 1994",,,,
,,,,,<480,дети,,,,,,,
,,,,,<145,>18 лет жен.,,,,,,,
,,,,,<155,>18 лет муж.,,,,,,,
,,,,,<105,>18 лет жен.,,,МФКХ,,,,
,,,,,<115,>18 лет муж.,,,,,,,
Холинэстераза,Холинэстераза,Сыв-ка крови,кЕд/л,"5,3","12,9",дети до 18,<2,>15,"Псевдохолинэстераза,бутирилтиохолиниодид, Рош диагностика.",Биохимия крови,Ферменты,"ХЭ, псевдохолинэстераза","CHE, Cholinesterase, Pseudocholinesterase"
,,,,"5,3","12,9",взрослые >40,,,,,,,
,,,,0,"11,2","жен. 16-39 не беременные, не применяющие пероральные контрацептивы",,,,,,,
,,,,"3,6","9,1",жен. 18-39 беременные или применяющие пероральные контрацептивы,,,,,,,
,,,,"3,9","10,8",>18 лет жен.,,,"НОКХ, стандартный метод, 1994",,,,
,,,,"4,6","11,5",>18 лет муж.,,,,,,,
"ГлДГ (глутаматдегидрогеназа, GLDH)","ГлДГ (глутаматдегидрогеназа, GLDH)",Сыв-ка крови,Ед/л,,"<9,8",1-30 дней,,,"НОКХ, оптимизированный, рекоменд., 1972",Биохимия крови,Ферменты,ГДГ,"GLDH, Glutamate dehydrogenase"
,,,,,"<6,4",1-6 месяцев,,,,,,,
,,,,,"<5,2",7-12 месяцев,,,,,,,
,,,,,"<4,2",13-24 месяцев,,,,,,,
,,,,,"<3,8",2-3 года,,,,,,,
,,,,,"<4,8",13-15 лет,,,,,,,
,,,,,<4.5,>18 лет жен.,,,,,,,
,,,,,"<6,0",>18 лет муж.,,,,,,,
,,,,,"<5,0",>18 лет жен.,,,"НОКХ, стандартный метод, 1994",,,,
,,,,,"<6,0",>18 лет муж.,,,,,,,
Альфа-амилаза,Альфа-амилаза,Сыв-ка крови,Ед/л,,<220,>18 лет,–,>300,"Метод EPS, субстрат G7, Рош Диагностика",Биохимия крови,Ферменты,"Диастаза, амилаза общая","Amylase, Alpha-amylase"
,,,,,<100,>18 лет,,,EPS альфа-амилаза жидкая 100% освобождение хромофора.,,,,
Альфа-амилаза панкреатическая,Альфа-амилаза панкреатическая,Сыв-ка крови,Ед/л,,"<2,0",1-5 дней,,,"Метод EPS, субстрат G7, Рош Диагностика",Биохимия крови,Ферменты,Панкреатическая амилаза,"Pancreatic amylase, P-isoamylase"
,,,,,<16,6 дней - 6 месяцев,,,,,,,
,,,,,<45,7 месяцев - 1 год,,,,,,,
,,,,,<61,2-3 года,,,,,,,
,,,,,<66,4-6 лет,,,,,,,
,,,,,<73,7-12 лет жен.,,,,,,,
