row_number,status,review_comment,raw_line,columns_count,parsed_service,parsed_test,parsed_biomaterial,parsed_unit,parsed_method
1,skipped_header,,"Наименование исследование.,Наименование тест.,БМ,Единицы измерения,Референсные значения НИЖНИЙ предел,Референсные значения ВЕРХНИЙ предел,Референсные группы,Критическое значение ниже нормы,Критическое значение выше нормы,""Метод исследования ",10,Наименование исследование.,Наименование тест.,БМ,Единицы измерения,Метод исследования
2,skipped_header,,(указывается при необходимости),1,(указывается при необходимости),,,,
3,skipped_header,,""",Раздел,Подраздел,Синонимы русский,Синонимы английский",1,",Раздел,Подраздел,Синонимы русский,Синонимы английский",,,,
59,invalid_column_count,invalid_column_count,",,,,,<250,1 день,,,""Расчет производился на основе опубликованных референсных диапазонов по ",10,,,,,Расчет производился на основе опубликованных референсных диапазонов по
60,invalid_column_count,invalid_column_count,определению щелочной фосфатазы с помощью оптического метода (DGKC),1,определению щелочной фосфатазы с помощью оптического метода (DGKC),,,,
61,invalid_column_count,invalid_column_count,13 с ,1,13 с,,,,
62,invalid_column_count,invalid_column_count,"использованием коэффициента 0.417, полученного при сравнении методов. Согласованные значения",2,использованием коэффициента 0.417,полученного при сравнении методов. Согласованные значения,,,
63,invalid_column_count,invalid_column_count,""",,,,",1,",,,,",,,,
138,invalid_column_count,invalid_column_count,"Креатинфосфокиназа,Креатинфосфокиназа,Сыв-ка крови,Ед/л,,<712,1 день,–,>1000,""МФКХ",10,Креатинфосфокиназа,Креатинфосфокиназа,Сыв-ка крови,Ед/л,МФКХ
139,invalid_column_count,invalid_column_count,"НОКХ, оптимизированный, рекоменд., 1972"",Биохимия крови,Ферменты,КФК,""CK, Creatine kinase""",5,НОКХ,оптимизированный,рекоменд.,"1972,Биохимия крови,Ферменты,КФК,CK",
156,invalid_column_count,invalid_column_count,"""Креатинфосфокиназа МВ-фракция (ИХ фракиця)",1,Креатинфосфокиназа МВ-фракция (ИХ фракиця),,,,
157,invalid_column_count,invalid_column_count,""",""Креатинфосфокиназа МВ-фракция (ИХ фракиця)",1,",Креатинфосфокиназа МВ-фракция (ИХ фракиця)",,,,
158,invalid_column_count,invalid_column_count,""",,нг/мл,,<5,>18 лет,,,""Массовая концентрация, предварительный референтный интервал для анализаторва Elicsys"",,,,",2,",,нг/мл,,<5,>18 лет,,,Массовая концентрация","предварительный референтный интервал для анализаторва Elicsys,,,,",,,
301,needs_review,unit_conflict_for_same_test_context,",Клиренс эндогенного креатинина,,""мл/мин/1,73 м2"",60,,18-90 лет,,,Расчетный,,,,",14,Клиренс креатинина расчетный (CKD-EPI),Клиренс эндогенного креатинина,Сыв-ка крови,"мл/мин/1,73 м2",Расчетный
327,invalid_column_count,invalid_column_count,"Глюкоза,Глюкоза,Плазма с фторидом натрия,ммоль/л,2.22,3.33,""Новорожденные (1 день)",7,Глюкоза,Глюкоза,Плазма с фторидом натрия,ммоль/л,
328,invalid_column_count,invalid_column_count,""",<2.5,>20,Ферментативный референсный метод с гексокиназой. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен углеводов,""Сахар крови, гликемия, глюкоза плазмы"",""Glucose, Blood Sugar, Plasma Glucose""",5,",<2.5,>20,Ферментативный референсный метод с гексокиназой. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен углеводов,Сахар крови",гликемия,"глюкоза плазмы,Glucose",Blood Sugar,
329,needs_review,unit_conflict_for_same_test_context,",,,ммоль/л,2.78,4.44,1 день - 1 месяц,,,,,,,",14,"Иммуноэлектрофорез-скрининг (дифференцировка гаммапатии: лямбда-цепи, капа-цепи иммуноглобулинов)",Лямбда-цепи иммуноглобулино в сыворотке,Сыв-ка крови,ммоль/л,Электрофорез
336,invalid_column_count,invalid_column_count,"""Глюкозотолерантный тест сокращенный (глюкоза натощак, глюкоза через 2 часа после нагрузки)"",Глюкоза (натощак),Плазма с фторидом натрия,ммоль/л,2.22,3.33,""Новорожденные (1 день)",7,"Глюкозотолерантный тест сокращенный (глюкоза натощак, глюкоза через 2 часа после нагрузки)",Глюкоза (натощак),Плазма с фторидом натрия,ммоль/л,
337,invalid_column_count,invalid_column_count,""",,,Ферментативный референсный метод с гексокиназой. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен углеводов,""ГТТ (2-часовая проба), тест на толерантность к глюкозе"",""Oral Glucose Tolerance Test (OGTT), 2-hour GTT""",3,",,,Ферментативный референсный метод с гексокиназой. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен углеводов,ГТТ (2-часовая проба)","тест на толерантность к глюкозе,Oral Glucose Tolerance Test (OGTT)",2-hour GTT,,
338,needs_review,unit_conflict_for_same_test_context,",,,ммоль/л,2.78,4.44,1 день - 1 месяц,,,,,,,",14,Фруктозамин,Фруктозамин,Сыв-ка крови,ммоль/л,Колориметрический тест.
343,invalid_column_count,invalid_column_count,"""Глюкозотолерантный тест базовый (глюкоза натощак, глюкоза через 1 час и через 2 часа после нагрузки)"",Глюкоза (натощак),Плазма с фторидом натрия,ммоль/л,2.22,3.33,""Новорожденные (1 день)",7,"Глюкозотолерантный тест базовый (глюкоза натощак, глюкоза через 1 час и через 2 часа после нагрузки)",Глюкоза (натощак),Плазма с фторидом натрия,ммоль/л,
344,invalid_column_count,invalid_column_count,""",,,Ферментативный референсный метод с гексокиназой. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен углеводов,""ГТТ (1 и 2 часа), стандартный тест на толерантность к глюкозе"",""Standard OGTT, 1-hour & 2-hour GTT""",3,",,,Ферментативный референсный метод с гексокиназой. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен углеводов,ГТТ (1 и 2 часа)","стандартный тест на толерантность к глюкозе,Standard OGTT",1-hour & 2-hour GTT,,
351,invalid_column_count,invalid_column_count,"""Глюкозотолерантный тест расширенный (глюкоза, инсулин, С-пептид натощак и через 2 часа после нагрузки)"",Глюкоза (натощак),""Сыв-ка крови, плазма с фторидом натрия"",ммоль/л,2.22,3.33,""Новорожденные (1 день)",7,"Глюкозотолерантный тест расширенный (глюкоза, инсулин, С-пептид натощак и через 2 часа после нагрузки)",Глюкоза (натощак),"Сыв-ка крови, плазма с фторидом натрия",ммоль/л,
352,invalid_column_count,invalid_column_count,""",,,Ферментативный референсный метод с гексокиназой. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен углеводов,""ГТТ с инсулином и С-пептидом, расширенная проба на толерантность"",Extended OGTT with Insulin & C-peptide",2,",,,Ферментативный референсный метод с гексокиназой. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен углеводов,ГТТ с инсулином и С-пептидом","расширенная проба на толерантность,Extended OGTT with Insulin & C-peptide",,,
362,invalid_column_count,invalid_column_count,"Индекс HOMA,Глюкоза (натощак),,ммоль/л,2.22,3.33,""Новорожденные (1 день)",7,Индекс HOMA,Глюкоза (натощак),,ммоль/л,
363,invalid_column_count,invalid_column_count,""",,,Ферментативный референсный метод с гексокиназой. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен углеводов,""Индекс инсулинорезистентности, HOMA-IR"",Homeostatic Model Assessment (HOMA-IR)",2,",,,Ферментативный референсный метод с гексокиназой. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен углеводов,Индекс инсулинорезистентности","HOMA-IR,Homeostatic Model Assessment (HOMA-IR)",,,
364,needs_review,unit_conflict_for_same_test_context,",,,ммоль/л,2.78,4.44,1 день - 1 месяц,,,,,,,",14,Фруктозамин,С-пептид (через 2 ч),Плазма с фторидом натрия,ммоль/л,Хемилюминесцентный иммуноанализ
449,invalid_column_count,invalid_column_count,"Магний,Магний,Сыв-ка крови,ммоль/л,0.62,0.91,Новорожденные,,,""Метод колориметрического определения по конечной точке",10,Магний,Магний,Сыв-ка крови,ммоль/л,Метод колориметрического определения по конечной точке
450,invalid_column_count,invalid_column_count,"."",БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Электролиты и микроэлементы,""Магний сывороточный, Mg"",""Magnesium, Serum Magnesium, Mg""",4,".,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Электролиты и микроэлементы,Магний сывороточный","Mg,Magnesium",Serum Magnesium,Mg,
739,needs_review,unit_conflict_for_same_test_context,",,Кровь венозная с ЭДТА,(%),44.0,72.0,Дети (0 – 2 дня),,,,,,,",14,Общий анализ крови,Гемоглобин (Hb),Кровь венозная с ЭДТА,(%),Лазеро-оптический метод и количественная капиллярная фотометрия
1098,invalid_column_count,invalid_column_count,"ТТГ (тиреотропный гормон),ТТГ (тиреотропный гормон),Сыв-ка крови,мМЕ/мл,0.98,5.63,5 дней - 12 месяцев,,,ИХЛА,Гормональные исследования,Щитовидная железа                ,""Тиреотропин,",13,ТТГ (тиреотропный гормон),ТТГ (тиреотропный гормон),Сыв-ка крови,мМЕ/мл,ИХЛА
1099,invalid_column_count,invalid_column_count,"Тиротропин,",2,Тиротропин,,,,
